No,アプリ名,ProductName,AppIDAndroid,AppIDiOS,InterstitialIDAndroid,InterstitialIDiOS,BannerIDAndroid,BannerIDiOS,OpenAdIDAndroid,OpenAdIDiOS
1,AddUp10,Add Up 10,ca-app-pub-8977626552204439~7165937107,ca-app-pub-8977626552204439~6714951905,ca-app-pub-8977626552204439/2126578730,ca-app-pub-8977626552204439/9199253540,ca-app-pub-8977626552204439/8876654065,ca-app-pub-8977626552204439/5643151910,ca-app-pub-8977626552204439/6063835571,ca-app-pub-8977626552204439/7524161441
2,AkibaKartRacing,Akiba Kart,ca-app-pub-8977626552204439~1951110884,ca-app-pub-8977626552204439~8642897340,ca-app-pub-8977626552204439/3569486481,ca-app-pub-8977626552204439/7317159808,ca-app-pub-8977626552204439/5033793153,ca-app-pub-8977626552204439/8589894781,ca-app-pub-8977626552204439/2845779282,ca-app-pub-8977626552204439/6273872499
3,AkibaRunAway,Akiba,ca-app-pub-8977626552204439~3298259102,ca-app-pub-8977626552204439~2248831508,ca-app-pub-8977626552204439/9257755411,ca-app-pub-8977626552204439/6980922342,ca-app-pub-8977626552204439/4197000428,ca-app-pub-8977626552204439/7172494039,ca-app-pub-8977626552204439/5746532535,ca-app-pub-8977626552204439/7059614206
4,Alphabet,Alphabet,ca-app-pub-8977626552204439~8084267102,ca-app-pub-8977626552204439~2965749907,ca-app-pub-8977626552204439/4233461774,ca-app-pub-8977626552204439/5886929578,ca-app-pub-8977626552204439/7051196804,ca-app-pub-8977626552204439/3452337923,ca-app-pub-8977626552204439/6391795136,ca-app-pub-8977626552204439/1056256713
5,CatchHiragana,CatchHiragana,ca-app-pub-8977626552204439~4833993906,ca-app-pub-8977626552204439~7927061106,ca-app-pub-8977626552204439/7442805394,ca-app-pub-8977626552204439/7506384570,ca-app-pub-8977626552204439/7332970662,ca-app-pub-8977626552204439/4543155799,ca-app-pub-8977626552204439/1339692708,ca-app-pub-8977626552204439/5797812464
6,Dajare Robo,Dajare Robo,ca-app-pub-8977626552204439~1758531906,ca-app-pub-8977626552204439~1025331908,ca-app-pub-8977626552204439/9117234740,ca-app-pub-8977626552204439/6431555179,ca-app-pub-8977626552204439/1621888107,ca-app-pub-8977626552204439/5310045193,ca-app-pub-8977626552204439/4628717948,ca-app-pub-8977626552204439/3203955639
7,Demae,Demae Robo,ca-app-pub-8977626552204439~1339729501,ca-app-pub-8977626552204439~2691391502,ca-app-pub-8977626552204439/8304486572,ca-app-pub-8977626552204439/9234424864,ca-app-pub-8977626552204439/7182976598,ca-app-pub-8977626552204439/8967843310,ca-app-pub-8977626552204439/9011666147,ca-app-pub-8977626552204439/6083354124
8,Dremi,Robotone,ca-app-pub-8977626552204439~6173555103,ca-app-pub-8977626552204439~1186135503,ca-app-pub-8977626552204439/1424445542,ca-app-pub-8977626552204439/3368082606,ca-app-pub-8977626552204439/2929098904,ca-app-pub-8977626552204439/6102057158,ca-app-pub-8977626552204439/1559863177,ca-app-pub-8977626552204439/5606919391
9,Earth,Earth Robo,ca-app-pub-8977626552204439~4144445109,ca-app-pub-8977626552204439~2807312709,ca-app-pub-8977626552204439/5835796406,ca-app-pub-8977626552204439/2606997830,ca-app-pub-8977626552204439/6000297992,ca-app-pub-8977626552204439/6546242844,ca-app-pub-8977626552204439/9781133974,ca-app-pub-8977626552204439/7738274622
10,FirstEnglish,First English,ca-app-pub-8977626552204439~3283760707,ca-app-pub-8977626552204439~6376827901,ca-app-pub-8977626552204439/5780123957,ca-app-pub-8977626552204439/8542018667,ca-app-pub-8977626552204439/7420508686,ca-app-pub-8977626552204439/5588552268,ca-app-pub-8977626552204439/1328826670,ca-app-pub-8977626552204439/7304311730
11,HakataRunAway,Hakata,ca-app-pub-8977626552204439~4073096941,ca-app-pub-8977626552204439~1502773922,ca-app-pub-8977626552204439/8657606724,ca-app-pub-8977626552204439/9232321798,ca-app-pub-8977626552204439/4003405214,ca-app-pub-8977626552204439/5316486885,ca-app-pub-8977626552204439/2413053498,ca-app-pub-8977626552204439/8786890158
